observed_quarter,steam_appid,steam_name,matched_worang_title,match_confidence,review_bucket,steam_owned_detected,steam_played_detected,steam_recently_played,steam_playtime_total_min,steam_playtime_hours,steam_playtime_2w_min,steam_last_played_at,suggested_action,gu_decision,decision_note
2026-Q3,632470,Disco Elysium,极乐迪斯科 Disco Elysium,contained,existing_match_candidate,yes,yes,,2145,35.8,,2023-09-30T05:43:05.000Z,可复核后补 steam_appid / steam_owned；不自动改状态,pending,
2026-Q3,1703340,The Stanley Parable: Ultra Deluxe,史丹利的寓言：终级豪华版 The Stanley Parable: Ultra Deluxe,contained,existing_match_candidate,yes,yes,,836,13.9,,2022-08-03T15:11:59.000Z,可复核后补 steam_appid / steam_owned；不自动改状态,pending,
2026-Q3,289070,Sid Meier's Civilization VI,,,new_entry_candidate,yes,yes,,49950,832.5,,2025-11-03T10:13:44.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,255710,Cities: Skylines,,,new_entry_candidate,yes,yes,,26440,440.7,,2024-12-29T09:19:57.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,457140,Oxygen Not Included,,,new_entry_candidate,yes,yes,,3190,53.2,,2025-01-27T16:03:50.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,1313140,Cult of the Lamb,,,new_entry_candidate,yes,yes,,1990,33.2,,2025-01-23T14:34:29.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,274190,Broforce,,,new_entry_candidate,yes,yes,,1915,31.9,,2025-05-01T17:22:52.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,431960,Wallpaper Engine,,,new_entry_candidate,yes,yes,,1835,30.6,,2025-06-18T05:26:07.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,1504980,It Takes Two Friend's Pass,,,new_entry_candidate,yes,yes,,546,9.1,,2023-10-24T17:00:21.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,774171,Muse Dash,,,new_entry_candidate,yes,yes,,205,3.4,,2024-10-31T02:42:18.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,1291340,Townscaper,,,new_entry_candidate,yes,yes,,174,2.9,,2024-08-26T11:29:29.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,718670,Cultist Simulator,,,new_entry_candidate,yes,yes,,166,2.8,,2025-05-01T05:24:48.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,728880,Overcooked! 2,,,new_entry_candidate,yes,yes,,88,1.5,,2023-04-18T09:51:29.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,275850,No Man's Sky,,,new_entry_candidate,yes,yes,,24,0.4,,2024-07-27T13:06:10.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,1568590,Goose Goose Duck,,,new_entry_candidate,yes,yes,,19,0.3,,2023-01-08T11:35:53.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,391540,Undertale,,,new_entry_candidate,yes,yes,,19,0.3,,2023-07-06T06:18:51.000Z,新条目候选；仅标试过候选，不判断价值,pending,
2026-Q3,1515950,Capcom Arcade Stadium,,,new_entry_candidate,yes,,,,,,,新条目候选；仅标已入库候选,pending,
2026-Q3,699920,Despotism 3k,,,new_entry_candidate,yes,,,,,,,新条目候选；仅标已入库候选,pending,
2026-Q3,489520,Minion Masters,,,new_entry_candidate,yes,,,,,,,新条目候选；仅标已入库候选,pending,
2026-Q3,1509960,PICO PARK,,,new_entry_candidate,yes,,,,,,,新条目候选；仅标已入库候选,pending,
2026-Q3,972660,Spiritfarer®: Farewell Edition,,,new_entry_candidate,yes,,,,,,,新条目候选；仅标已入库候选,pending,
2026-Q3,845070,The Awesome Adventures of Captain Spirit,,,new_entry_candidate,yes,,,,,,,新条目候选；仅标已入库候选,pending,
2026-Q3,552990,World of Warships,,,new_entry_candidate,yes,,,,,,,新条目候选；仅标已入库候选,pending,
